Company,Supersector,Country,Weight
CRANSWICK,Food & Beverage,Great Britain,0.03
MAN GRP,Financial Services,Great Britain,0.03
SPIE,Industrial Goods & Services,France,0.03
IDORSIA LIMITED,Health Care,Switzerland,0.03
PROSIEBENSAT.1 MEDIA,Media,Germany,0.03
NATIXIS,Banks,France,0.02
PEKAO,Banks,Poland,0.02
BAWAG GROUP AG,Banks,Austria,0.02
PRIMARY HEALTH PROPS.,Real Estate,Great Britain,0.02
ELIS,Industrial Goods & Services,France,0.02
A2A,Utilities,Italy,0.02
INMOBILIARIA COLONIAL SOCIMI,Real Estate,Spain,0.02
IWG PLC,Industrial Goods & Services,Great Britain,0.02
ANDRITZ,Industrial Goods & Services,Austria,0.02
INCHCAPE,Industrial Goods & Services,Great Britain,0.02
RAIFFEISEN BANK INTERNATIONAL,Banks,Austria,0.02
ASHMORE GRP,Financial Services,Great Britain,0.02
TP ICAP,Financial Services,Great Britain,0.02
VICTREX,Chemicals,Great Britain,0.02
ISS AS,Industrial Goods & Services,Denmark,0.02
BCO SABADELL,Banks,Spain,0.02
LOOMIS,Industrial Goods & Services,Sweden,0.02
Signature Aviation,Industrial Goods & Services,Great Britain,0.02
DASSAULT AVIATION,Industrial Goods & Services,France,0.02
TOPDANMARK,Insurance,Denmark,0.02
CANCOM,Technology,Germany,0.02
H. LUNDBECK,Health Care,Denmark,0.02
CLOSE BROTHERS GRP,Banks,Great Britain,0.02
CHRISTIAN DIOR,Personal & Household Goods,France,0.02
GLANBIA,Food & Beverage,Ireland,0.02
CARNIVAL,Travel & Leisure,Great Britain,0.02
BANK OF IRELAND GROUP,Banks,Ireland,0.02
AKER BP,Oil & Gas,Norway,0.02
MONEYSUPERMARKET COM GP.,Media,Great Britain,0.02
HOCHTIEF,Construction & Materials,Germany,0.02
NELES,Industrial Goods & Services,Finland,0.02
ICADE,Real Estate,France,0.02
MAPFRE,Insurance,Spain,0.02
VISTRY GROUP,Personal & Household Goods,Great Britain,0.02
GREAT PORTLAND ESTATES,Real Estate,Great Britain,0.02
FRAPORT,Industrial Goods & Services,Germany,0.02
REDROW,Personal & Household Goods,Great Britain,0.02
GREGGS,Retail,Great Britain,0.02
TUI,Travel & Leisure,Great Britain,0.02
TGS-NOPEC GEOPHYSICAL,Oil & Gas,Norway,0.02
NETWORK INTERNATIONAL HOLDINGS,Industrial Goods & Services,Great Britain,0.02
EASYJET,Travel & Leisure,Great Britain,0.01
MICRO FOCUS INTERNATIONAL,Technology,Great Britain,0.01
GRENKE N,Financial Services,Germany,0.01
